Price,Units Sold,Location,Product Score,Store Score,Price Cat,Product Score Cat,Store Score Cat
13857,10000,JAWA BARAT,5112,19110.0,Medium,Low,Medium
13140,7000,JAWA BARAT,3730,42630.0,Medium,Low,High
17499,9000,DKI JAKARTA,8316,126420.00000000001,Medium,Low,High
35000,1000,JAWA BARAT,4084,55370.00000000001,High,Low,High
21243,4000,DKI JAKARTA,3948,235200.00000000003,Medium,Low,High
22968,8000,DKI JAKARTA,5580,3302.4,Medium,Low,Low
19800,3000,JAWA TENGAH,5064,5390000.0,Medium,Low,High
16899,6000,JAWA BARAT,4308,19110.0,Medium,Low,Medium
19900,5000,DKI JAKARTA,4368,235200.00000000003,Medium,Low,High
20700,8000,BANTEN,6976,17760.0,Medium,Low,Medium
12000,4000,DKI JAKARTA,3780,584570.0,Low-Medium,Low,High
8400,3000,DKI JAKARTA,3840,3122770.0,Low,Low,High
100000,7000,JAWA BARAT,3788,16170.000000000002,High,Low,Medium
17000,2000,DKI JAKARTA,3808,2047220.0000000002,Medium,Low,High
19777,2000,JAWA BARAT,3708,556800.0,Medium,Low,High
4000,7000,DKI JAKARTA,3552,2047220.0000000002,Low,Low,High
18400,5000,DKI JAKARTA,3452,2047220.0000000002,Medium,Low,High
55000,3000,DKI JAKARTA,3700,115640.00000000001,High,Low,High
16600,5000,DKI JAKARTA,3812,1081920.0,Medium,Low,High
19206,3000,DKI JAKARTA,3664,3122770.0,Medium,Low,High
23239,1000,JAWA BARAT,3660,350400.0,Medium,Low,High
12500,7000,JAWA BARAT,8100,31680.0,Low-Medium,Low,High
13000,6000,JAWA BARAT,3552,92000.0,Medium,Low,High
10000,6000,DKI JAKARTA,4064,3122770.0,Low-Medium,Low,High
25000,11,JAWA BARAT,20,11760.0,High,Low,Low-Medium
48800,15,JAWA BARAT,45,10780.0,High,Low,Low-Medium
12725,10000,JAWA BARAT,25632,109270.00000000001,Low-Medium,High,High
10400,10000,DKI JAKARTA,16644,3122770.0,Low-Medium,Medium,High
19800,2000,JAWA TENGAH,4676,5390000.0,Medium,Low,High
19800,2000,JAWA TENGAH,4076,5390000.0,Medium,Low,High
