Price,Location,Rating,Review,Units Sold,Product Rating Score,Store Rating,Store Review
Rp19.800,Kab. Klaten,1419 rating • 518 ulasan,1419 rating • 518 ulasan,Terjual 5 rb+,5.0,4.9,"(1,1 jt)"
Rp11.400,Kota Administrasi Jakarta Barat,1931 rating • 362 ulasan,1931 rating • 362 ulasan,Terjual 10 rb+,4.9,4.9,"(417,8 rb)"
Rp8.500,Kab. Bandung,1975 rating • 1154 ulasan,1975 rating • 1154 ulasan,Terjual 10 rb+,4.9,4.9,"(15,2 rb)"
Rp93.210,Kota Cimahi,1917 rating • 516 ulasan,1917 rating • 516 ulasan,Terjual 2 rb+,4.9,4.9,"(11,3 rb)"
Rp6.199,Kota Blitar,2652 rating • 1039 ulasan,2652 rating • 1039 ulasan,Terjual 10 rb+,4.8,4.8,"(3,4 rb)"
Rp10.900,Kota Administrasi Jakarta Barat,1844 rating • 381 ulasan,1844 rating • 381 ulasan,Terjual 10 rb+,4.9,4.9,"(132,3 rb)"
Rp11.000,Kota Administrasi Jakarta Barat,1812 rating • 286 ulasan,1812 rating • 286 ulasan,Terjual 10 rb+,4.9,4.9,"(417,8 rb)"
Rp45.000,Kab. Bogor,2471 rating • 1072 ulasan,2471 rating • 1072 ulasan,Terjual 10 rb+,4.8,4.8,"(8,8 rb)"
Rp8.999,Kab. Sidoarjo,2445 rating • 525 ulasan,2445 rating • 525 ulasan,Terjual 10 rb+,4.8,4.8,(951)
Rp42.999,Kota Tangerang,1771 rating • 1534 ulasan,1771 rating • 1534 ulasan,Terjual 8 rb+,4.9,4.8,"(4,9 rb)"
Rp8.399,Kota Blitar,1733 rating • 1146 ulasan,1733 rating • 1146 ulasan,Terjual 10 rb+,4.9,4.9,"(25,3 rb)"
Rp9.399,Kota Bandung,1733 rating • 329 ulasan,1733 rating • 329 ulasan,Terjual 10 rb+,4.9,4.9,"(18,4 rb)"
Rp10.500,Kab. Bandung,1733 rating • 595 ulasan,1733 rating • 595 ulasan,Terjual 10 rb+,4.9,4.9,"(12,9 rb)"
Rp10.900,Kota Bandung,1729 rating • 372 ulasan,1729 rating • 372 ulasan,Terjual 10 rb+,4.9,4.9,"(10,2 rb)"
Rp35.000,Kab. Tangerang,2381 rating • 2377 ulasan,2381 rating • 2377 ulasan,Terjual 10 rb+,4.8,4.7,"(26,7 rb)"
Rp7.000,Kota Administrasi Jakarta Barat,1726 rating • 251 ulasan,1726 rating • 251 ulasan,Terjual 10 rb+,4.9,4.9,"(637,3 rb)"
Rp10.296,Kota Administrasi Jakarta Barat,1682 rating • 311 ulasan,1682 rating • 311 ulasan,Terjual 10 rb+,4.9,4.9,"(637,3 rb)"
Rp6.000,Kota Administrasi Jakarta Barat,1680 rating • 311 ulasan,1680 rating • 311 ulasan,Terjual 10 rb+,4.9,4.9,"(417,8 rb)"
Rp46.000,Kab. Kudus,2312 rating • 888 ulasan,2312 rating • 888 ulasan,Terjual 10 rb+,4.8,4.7,"(32,8 rb)"
Rp7.400,Kota Administrasi Jakarta Barat,2281 rating • 469 ulasan,2281 rating • 469 ulasan,Terjual 10 rb+,4.8,4.9,"(417,8 rb)"
Rp19.949,Kab. Bekasi,2248 rating • 929 ulasan,2248 rating • 929 ulasan,Terjual 10 rb+,4.8,4.8,"(1,6 rb)"
Rp19.777,Kota Bandung,1587 rating • 299 ulasan,1587 rating • 299 ulasan,Terjual 8 rb+,4.9,4.8,(116 rb)
Rp40.000,Kab. Tangerang,2136 rating • 427 ulasan,2136 rating • 427 ulasan,Terjual 5 rb+,4.8,4.7,"(26,7 rb)"
Rp43.900,Kota Administrasi Jakarta Utara,266 rating • 55 ulasan,266 rating • 55 ulasan,Terjual 1 rb+,4.9,4.9,"(4,7 rb)"
Rp10.296,Kota Administrasi Jakarta Barat,1682 rating • 311 ulasan,1682 rating • 311 ulasan,Terjual 10 rb+,4.9,4.9,"(637,3 rb)"
Rp11.286,Kota Administrasi Jakarta Barat,6316 rating • 1256 ulasan,6316 rating • 1256 ulasan,Terjual 10 rb+,4.9,4.9,"(637,3 rb)"
Rp39.998,Kota Bandung,404 rating • 137 ulasan,404 rating • 137 ulasan,Terjual 2 rb+,4.9,5.0,"(3,3 rb)"
Rp8.500,Kota Bekasi,3064 rating • 673 ulasan,3064 rating • 673 ulasan,Terjual 10 rb+,4.9,4.9,"(14,2 rb)"
Rp15.600,Kota Administrasi Jakarta Barat,1540 rating • 299 ulasan,1540 rating • 299 ulasan,Terjual 9 rb+,4.9,4.9,"(58,1 rb)"
Rp12.300,Kota Administrasi Jakarta Utara,1488 rating • 587 ulasan,1488 rating • 587 ulasan,Terjual 10 rb+,4.9,4.8,"(19,7 rb)"
Rp8.900,Kota Administrasi Jakarta Barat,1481 rating • 290 ulasan,1481 rating • 290 ulasan,Terjual 7 rb+,4.9,4.9,"(417,8 rb)"
Rp66.900,Kab. Bandung,1481 rating • 595 ulasan,1481 rating • 595 ulasan,Terjual 9 rb+,4.9,4.9,(358)
Rp38.500,Kab. Tangerang,1464 rating • 1094 ulasan,1464 rating • 1094 ulasan,Terjual 6 rb+,4.9,4.8,"(7,6 rb)"
Rp3.450,Kota Administrasi Jakarta Timur,1462 rating • 288 ulasan,1462 rating • 288 ulasan,Terjual 10 rb+,4.9,4.9,(24 rb)
Rp48.955,Kab. Bandung,1452 rating • 1362 ulasan,1452 rating • 1362 ulasan,Terjual 5 rb+,4.9,4.9,"(71,6 rb)"
Rp2.288,Kota Depok,1994 rating • 529 ulasan,1994 rating • 529 ulasan,Terjual 10 rb+,4.8,4.8,"(3,5 jt)"
Rp3.993,Kab. Bogor,2740 rating • 2490 ulasan,2740 rating • 2490 ulasan,Terjual 10 rb+,4.7,4.8,(73 rb)
Rp17.500,Kota Administrasi Jakarta Barat,1429 rating • 323 ulasan,1429 rating • 323 ulasan,Terjual 7 rb+,4.9,4.9,"(132,3 rb)"
Rp8.900,Kota Administrasi Jakarta Barat,1421 rating • 280 ulasan,1421 rating • 280 ulasan,Terjual 7 rb+,4.9,4.9,"(637,3 rb)"
Rp11.499,Kota Bandung,1942 rating • 1930 ulasan,1942 rating • 1930 ulasan,Terjual 10 rb+,4.8,4.9,"(35,9 rb)"
Rp26.899,Kota Administrasi Jakarta Utara,1413 rating • 475 ulasan,1413 rating • 475 ulasan,Terjual 9 rb+,4.9,4.8,"(5,9 rb)"
Rp7.500,Kab. Bandung,1414 rating • 769 ulasan,1414 rating • 769 ulasan,Terjual 10 rb+,4.9,4.9,"(15,2 rb)"
Rp10.890,Kota Administrasi Jakarta Barat,1410 rating • 222 ulasan,1410 rating • 222 ulasan,Terjual 10 rb+,4.9,4.9,"(637,3 rb)"
Rp19.900,Kab. Bekasi,1931 rating • 493 ulasan,1931 rating • 493 ulasan,Terjual 8 rb+,4.8,4.9,"(24,5 rb)"
Rp7.326,Kota Administrasi Jakarta Barat,1404 rating • 304 ulasan,1404 rating • 304 ulasan,Terjual 7 rb+,4.9,4.9,"(637,3 rb)"
Rp18.819,Kab. Bekasi,2684 rating • 1128 ulasan,2684 rating • 1128 ulasan,Terjual 10 rb+,4.7,4.8,"(3,6 rb)"
Rp19.777,Kota Bandung,1401 rating • 224 ulasan,1401 rating • 224 ulasan,Terjual 6 rb+,4.9,4.8,(116 rb)
Rp15.500,Kota Administrasi Jakarta Utara,1385 rating • 410 ulasan,1385 rating • 410 ulasan,Terjual 10 rb+,4.9,4.9,(48 rb)
Rp8.500,Kota Bandung,1384 rating • 1376 ulasan,1384 rating • 1376 ulasan,Terjual 8 rb+,4.9,4.9,"(35,9 rb)"
Rp8.000,Kota Bogor,1378 rating • 232 ulasan,1378 rating • 232 ulasan,Terjual 10 rb+,4.9,5.0,"(18,4 rb)"
Rp8.316,Kota Administrasi Jakarta Barat,1373 rating • 259 ulasan,1373 rating • 259 ulasan,Terjual 8 rb+,4.9,4.9,"(637,3 rb)"
Rp73.636,Kota Bandar Lampung,999 rating • 341 ulasan,999 rating • 341 ulasan,Terjual 2 rb+,5.0,5.0,"(2,8 rb)"
Rp29.900,Kota Administrasi Jakarta Barat,1334 rating • 414 ulasan,1334 rating • 414 ulasan,Terjual 7 rb+,4.9,4.9,"(58,1 rb)"
Rp8.181,Kab. Bandung,1827 rating • 1499 ulasan,1827 rating • 1499 ulasan,Terjual 10 rb+,4.8,4.8,"(2,2 rb)"
Rp12.499,Kab. Bandung,1328 rating • 831 ulasan,1328 rating • 831 ulasan,Terjual 9 rb+,4.9,4.9,"(13,4 rb)"
Rp22.000,Kota Bandung,1323 rating • 1181 ulasan,1323 rating • 1181 ulasan,Terjual 10 rb+,4.9,4.9,"(3,9 rb)"
Rp8.399,Kab. Bandung,1318 rating • 890 ulasan,1318 rating • 890 ulasan,Terjual 10 rb+,4.9,4.9,"(23,8 rb)"
Rp11.000,Kota Tangerang,1317 rating • 216 ulasan,1317 rating • 216 ulasan,Terjual 8 rb+,4.9,4.9,"(18,7 rb)"
Rp19.777,Kota Bandung,1307 rating • 274 ulasan,1307 rating • 274 ulasan,Terjual 5 rb+,4.9,4.8,(116 rb)
Rp11.500,Kota Bandung,1307 rating • 1273 ulasan,1307 rating • 1273 ulasan,Terjual 10 rb+,4.9,4.9,"(35,9 rb)"
Rp3.910,Kab. Bandung Barat,1779 rating • 1330 ulasan,1779 rating • 1330 ulasan,Terjual 10 rb+,4.8,4.8,"(45,9 rb)"
Rp19.800,Kab. Klaten,1288 rating • 611 ulasan,1288 rating • 611 ulasan,Terjual 4 rb+,4.9,4.9,"(1,1 jt)"
Rp8.999,Jakarta Utara,1278 rating • 286 ulasan,1278 rating • 286 ulasan,Terjual 10 rb+,4.9,4.9,"(1,6 rb)"
Rp89.700,Kota Sukabumi,1274 rating • 293 ulasan,1274 rating • 293 ulasan,Terjual 2 rb+,4.9,4.9,"(41,7 rb)"
Rp7.750,Kab. Bandung,1274 rating • 780 ulasan,1274 rating • 780 ulasan,Terjual 10 rb+,4.9,4.9,"(13,4 rb)"
Rp105.000,Kota Bekasi,1717 rating • 327 ulasan,1717 rating • 327 ulasan,Terjual 3 rb+,4.8,4.9,"(24,2 rb)"
Rp29.900,Kota Administrasi Jakarta Utara,925 rating • 189 ulasan,925 rating • 189 ulasan,Terjual 3 rb+,5.0,4.9,"(45,4 rb)"
